kaynak,havalimani_kodu,havalimani_adi,sehir,ulke,salon_adi,terminal,bolum,kapsam,isletmeci,notlar
yurtici,ADA,Adana Şakirpaşa Havalimanı,Adana,Türkiye,Turkish Airlines CIP Lounge,İç Hat,,domestic,THY,THY ve AJet seferlerinde M&S kart sahiplerine acik ic hat CIP salonu.
yurtici,ADB,İzmir Adnan Menderes Havalimanı,İzmir,Türkiye,Primeclass Lounge — Dış Hat,Dış Hat,,international,TAV,
yurtici,ADB,İzmir Adnan Menderes Havalimanı,İzmir,Türkiye,Primeclass Lounge — İç Hat,İç Hat,,domestic,TAV,
yurtici,ADB,İzmir Adnan Menderes Havalimanı,İzmir,Türkiye,Turkish Airlines Lounge,İç Hat,,domestic,THY,AJet uculariyla M&S Elite/Elite Plus erisimi bu havalimaninda GECERLI (not 23).
yurtici,ASR,Kayseri Havalimanı,Kayseri,Türkiye,Turkish Airlines CIP Lounge,İç Hat,,domestic,THY,THY ve AJet seferlerinde M&S kart sahiplerine acik ic hat CIP salonu.
yurtici,AYT,Antalya Havalimanı,Antalya,Türkiye,Antalya Airport CIP Lounge,T1 International,,both,,lounges tablosundan otomatik aktarildi (086)
yurtici,AYT,Antalya Havalimanı,Antalya,Türkiye,Antalya Havalimanı dış hatlar özel yolcu salonu (FTA CIP Salonları),Uçuş operasyonunun yapıldığı terminaldeki FTA CIP Salonları,,international,Fraport TAV Antalya (FTA) CIP,"24 saat. Kullanım süresi 4 saat. Ayrı check-in, ayrı bilet satışı, ayrı boarding"
yurtici,AYT,Antalya Havalimanı,Antalya,Türkiye,CIP Lounge — Dış Hat (T2),Dış Hat (T2),,international,TAV,Yalniz LoungeKey dizininde.
yurtici,AYT,Antalya Havalimanı,Antalya,Türkiye,CIP Lounge — İç Hat (T3),İç Hat (T3),,domestic,TAV,
yurtici,AYT,Antalya Havalimanı,Antalya,Türkiye,Comfort Lounge — Dış Hat (T2),Dış Hat (T2),,international,FTA,"PP ""Comfort Lounge"", DragonPass ""FTA Comfort Lounge"". LoungeKey dizininde YOK."
yurtici,AYT,Antalya Havalimanı,Antalya,Türkiye,Elite Lounge — Dış Hat (T1),Dış Hat (T1),,international,-,Yalniz LoungeKey dizininde.
yurtici,AYT,Antalya Havalimanı,Antalya,Türkiye,Primeclass Lounge,Dış Hat,,both,TAV,
yurtici,AYT,Antalya Havalimanı,Antalya,Türkiye,Turkish Airlines Lounge,İç Hat,,domestic,THY,AJet uculariyla M&S Elite/Elite Plus erisimi bu havalimaninda GECERLI (not 23).
yurtici,BJV,Milas-Bodrum Havalimanı,Bodrum / Muğla,Türkiye,Milas-Bodrum Havalimanı iç hatlar özel yolcu salonu,İç Hatlar – Gidiş,,domestic,Turkish Airlines,"Kış sezonu 07.00-23.00; Yaz sezonu 24 saat. Kullanım 3 saat, uçuştan 2 saat önce başlar"
yurtici,BJV,Milas-Bodrum Havalimanı,Bodrum / Muğla,Türkiye,Primeclass Lounge — Dış Hat,Dış Hat,,international,TAV,107: havalimani eksik oldugu icin 099'da olusturulamamisti.
yurtici,BJV,Milas-Bodrum Havalimanı,Bodrum / Muğla,Türkiye,Primeclass Lounge — İç Hat,İç Hat,,domestic,TAV,107: havalimani eksik oldugu icin 099'da olusturulamamisti.
yurtici,COV,Çukurova Uluslararası Havalimanı,Adana / Mersin,Türkiye,Turkish Airlines CIP Lounge,İç Hat,,domestic,THY,THY ve AJet seferlerinde M&S kart sahiplerine acik ic hat CIP salonu.
yurtici,COV,Çukurova Uluslararası Havalimanı,Adana / Mersin,Türkiye,Çelebi Platinum Lounge — Dış Hat,Dış Hat,,international,Çelebi,107: havalimani eksik oldugu icin 099'da olusturulamamisti.
yurtici,COV,Çukurova Uluslararası Havalimanı,Adana / Mersin,Türkiye,Çelebi Platinum Lounge — İç Hat,İç Hat,,domestic,Çelebi,107: havalimani eksik oldugu icin 099'da olusturulamamisti.
yurtici,DIY,Diyarbakır Havalimanı,Diyarbakır,Türkiye,CIP Lounge — Terminal,Terminal,,both,TAV,107: havalimani eksik oldugu icin 099'da olusturulamamisti.
yurtici,DIY,Diyarbakır Havalimanı,Diyarbakır,Türkiye,Turkish Airlines CIP Lounge,İç Hat,,domestic,THY,THY ve AJet seferlerinde M&S kart sahiplerine acik ic hat CIP salonu.
yurtici,DLM,Dalaman Havalimanı,Dalaman,Türkiye,CIP Lounge — Dış Hat (T2),Dış Hat (T2),,international,TAV,107: havalimani eksik oldugu icin 099'da olusturulamamisti.
yurtici,DLM,Dalaman Havalimanı,Dalaman,Türkiye,CIP Lounge — İç Hat (T2),İç Hat (T2),,domestic,TAV,107: havalimani eksik oldugu icin 099'da olusturulamamisti.
yurtici,DLM,Dalaman Havalimanı,Dalaman,Türkiye,DLM Lounge — Terminal 2,Terminal 2,,both,—,107: havalimani eksik oldugu icin 099'da olusturulamamisti.
yurtici,DLM,Dalaman Havalimanı,Dalaman,Türkiye,Turkish Airlines CIP Lounge,İç Hat,,domestic,THY,THY ve AJet seferlerinde M&S kart sahiplerine acik ic hat CIP salonu.
yurtici,ESB,Ankara Esenboğa Havalimanı,Ankara,Türkiye,Anatolia Lounge,Dom. Terminal,,both,,lounges tablosundan otomatik aktarildi (086)
yurtici,ESB,Ankara Esenboğa Havalimanı,Ankara,Türkiye,Primeclass CIP Lounge,Int. Terminal,,both,,lounges tablosundan otomatik aktarildi (086)
yurtici,ESB,Ankara Esenboğa Havalimanı,Ankara,Türkiye,Primeclass Lounge — Dış Hat,Dış Hat,,international,TAV,
yurtici,ESB,Ankara Esenboğa Havalimanı,Ankara,Türkiye,Primeclass Lounge — İç Hat,İç Hat,,domestic,TAV,
yurtici,ESB,Ankara Esenboğa Havalimanı,Ankara,Türkiye,Turkish Airlines Lounge,İç Hat,,domestic,THY,AJet uculariyla M&S Elite/Elite Plus erisimi bu havalimaninda GECERLI (not 23).
yurtici,GZT,Gaziantep Havalimanı,Gaziantep,Türkiye,Turkish Airlines CIP Lounge,İç Hat,,domestic,THY,THY ve AJet seferlerinde M&S kart sahiplerine acik ic hat CIP salonu.
yurtici,HTY,Hatay Havalimanı,Hatay,Türkiye,Turkish Airlines CIP Lounge,İç Hat,,domestic,THY,THY ve AJet seferlerinde M&S kart sahiplerine acik ic hat CIP salonu.
yurtici,IST,İstanbul Havalimanı,İstanbul,Türkiye,Primeclass Lounge,Main T - Gate A,,both,,lounges tablosundan otomatik aktarildi (086)
yurtici,IST,İstanbul Havalimanı,İstanbul,Türkiye,Turkish Airlines Lounge — İç Hat,İç Hat,miles_smiles,domestic,THY,"[190] Bölüm M&S olarak işaretlendi: kaynak ""misafirle girmek isteyen Business yolcu M&S bölümüne gitmeli"" diyor, yani misafir hakkını taşıyan bölüm burasıdır. Dış hat tarafı zaten böyle modelli. İKİ BÖLÜMLÜ SALON: Business kabin yolcuları ve Elite Plus kartlılar BUSINESS bölümüne; ekonomi kabinde seyahat eden Elite, Classic Plus, Star Alliance Gold, Platinum, Corporate kartlılar ve ücret/mil karşılığı girenler MILES&SMILES bölümüne girer. Ücret ödeyerek giren yolcu yalnızca Miles&Smiles bölümünü kullanabilir."
